idu,commune,status,tier_v2,rang_v2,etage0,n_zones_raw,n_zones_dedup,total_cov_raw_pct,total_cov_dedup_pct,an_cov_raw_pct,an_cov_dedup_pct,uau_cov_raw_pct,uau_cov_dedup_pct,zone_majoritaire_raw,zone_majoritaire_dedup,verdict_raw,verdict_dedup,hard_exclude_infonde,zone_majoritaire_change,verdict_change
97408000AM0897,La Possession,ecartee,a_creuser,17255,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0898,La Possession,ecartee,a_creuser,16850,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0899,La Possession,ecartee,a_creuser,13632,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0901,La Possession,ecartee,a_creuser,221098,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0902,La Possession,ecartee,a_creuser,225474,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0903,La Possession,ecartee,a_creuser,173817,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0904,La Possession,a_surveiller,a_creuser,3077,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0909,La Possession,ecartee,a_creuser,6077,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0910,La Possession,ecartee,a_creuser,48975,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0916,La Possession,a_creuser,a_creuser,141629,0,3,2,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0917,La Possession,ecartee,a_creuser,73915,0,5,3,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
