idu,commune,statut_avant,statut_apres,etage0_avant,etage0_apres,tier_avant,tier_apres,rang_avant,rang_apres,motifs_he_v5
97415000EX0364,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,291039,291060,bati:HARD_EXCLUDE | osm_faux_positif:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0365,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,318504,318536,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0378,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,7416,7420,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0379,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,173770,173761,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0380,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,264588,264595,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0398,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,289892,289913,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0399,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,332205,332232,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0401,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,344768,344792,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0402,Saint-Paul,a_creuser,exclue,0,1,reserve_fonciere,reserve_fonciere,311159,311181,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0405,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,207809,207802,emprise_lineaire:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0431,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,338485,338509,bati:HARD_EXCLUDE | osm_faux_positif:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0432,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,207603,207596,emprise_lineaire:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0433,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,49878,49879,zonage_plu_gpu:HARD_EXCLUDE
97415000EX0434,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,323150,323172,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EX0435,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,28068,28064,zonage_plu_gpu:HARD_EXCLUDE
97415000EY0771,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,26610,26609,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000EY0772,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,49519,49520,zonage_plu_gpu:HARD_EXCLUDE
