idu,p_arene,p_raw,ponderee_au,ecart
97410000BK0365,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97415000AH0254,0.007278472085084773,0.007278,False,4.720850847730537e-07
97422000BP1024,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97422000CS0243,0.01264591439688716,0.012646,False,8.56031128395468e-08
97416000ID0790,0.010575332927147707,0.010575,False,3.329271477080231e-07
97408000AS0254,0.011834319526627219,0.011834,False,3.1952662721788927e-07
97414000DV0435,0.007278472085084773,0.007278,False,4.720850847730537e-07
97419000AK0069,0.008840227088402269,0.00884,False,2.270884022683578e-07
97409000AR1900,0.027501462843768292,0.027501,False,4.6284376829103246e-07
97409000AN0338,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97422000BW0155,0.010748560460652593,0.010749,False,4.3953934740666167e-07
97408000AN1125,0.007278472085084773,0.007278,False,4.720850847730537e-07
97420000AX0243,0.007278472085084773,0.007278,False,4.720850847730537e-07
97412000CY0557,0.018904958677685952,0.018905,False,4.132231404968545e-08
97411000KC0195,0.018904958677685952,0.018905,False,4.132231404968545e-08
97416000DT0483,0.018904958677685952,0.018905,False,4.132231404968545e-08
97415000BN1382,0.010575332927147707,0.010575,False,3.329271477080231e-07
97415000BZ1073,0.008840227088402269,0.00884,False,2.270884022683578e-07
97416000ES0844,0.007278472085084773,0.007278,False,4.720850847730537e-07
97416000HN0251,0.016022841787033924,0.016023,False,1.5821296607543278e-07
