feature,bin,effectif,taux_evenement,woe,coef,log_hazard
sdp_residuelle_m2,"(26, 75]",152817,0.0235379571644516,0.3117703027161606,0.3412575818729574,0.10639397960471689
sdp_residuelle_m2,"(75, 135]",148036,0.020630116998567916,0.17695908835766572,0.3412575818729574,0.06038863058338001
sdp_residuelle_m2,"(135, 219]",151382,0.018919026040084025,0.08864050599029737,0.3412575818729574,0.030249244730244276
sdp_residuelle_m2,"(219, 352]",148904,0.01652071133079031,-0.0493257150331356,0.3412575818729574,-0.01683277423636244
sdp_residuelle_m2,"(352, 678]",150073,0.014666195784718105,-0.1702552490394155,0.3412575818729574,-0.05810089458836908
sdp_residuelle_m2,> 678,149667,0.013369680691134318,-0.2641032325259256,0.3412575818729574,-0.09012723049662877
sdp_residuelle_m2,manquant/inconnu,30779,0.013483219077942752,-0.2522331517550497,0.3412575818729574,-0.08607647543612296
tenure_bin,1-2,48374,0.03249679579939637,0.6460155839611987,0.5468969594339899,0.35330395861535296
tenure_bin,2-3,42960,0.026838919925512104,0.4490105440275571,0.5468969594339899,0.2455625012824726
tenure_bin,3+,110746,0.027152222202156285,0.46067838709603487,0.5468969594339899,0.25194360917977604
tenure_bin,<1,58002,0.05018792455432571,1.0989584676780368,0.5468969594339899,0.6010170445173549
