idu,avant,apres,r_avant,r_apres,d_avant,d_apres,nature
97416000EX1016,a_creuser,chaude,6670,6313,0.5067,0.5067,heritage_de_place
97415000CX1382,a_creuser,chaude,5433,6314,0.5065,0.5065,heritage_de_place
97412000BW1864,a_creuser,chaude,5098,6322,0.4987,0.4987,heritage_de_place
97406000AE0121,a_creuser,chaude,4737,6323,0.4977,0.4977,heritage_de_place
97415000EZ0092,a_creuser,chaude,4430,6329,0.4934,0.4934,heritage_de_place
97411000DY0146,a_creuser,chaude,6318,6332,0.4916,0.4916,heritage_de_place
97411000DW0080,a_creuser,chaude,6059,6349,0.4827,0.4827,heritage_de_place
97415000CT3115,a_creuser,chaude,4797,6350,0.4823,0.4823,heritage_de_place
97416000CS1349,a_creuser,chaude,5847,6351,0.4823,0.4823,heritage_de_place
97414000DE1265,a_creuser,chaude,6342,6368,0.4720,0.4720,heritage_de_place
97408000AB0312,a_creuser,chaude,6426,6380,0.4697,0.4697,heritage_de_place
97415000ET0157,a_creuser,chaude,4372,6382,0.4694,0.4694,heritage_de_place
97411000KA0297,a_creuser,chaude,4751,6386,0.4682,0.4682,heritage_de_place
97408000AT2087,a_creuser,chaude,6530,6387,0.4682,0.4682,heritage_de_place
97418000AS1348,a_creuser,chaude,6149,6388,0.4682,0.4682,heritage_de_place
97415000EV0862,a_creuser,chaude,6412,6389,0.4680,0.4680,heritage_de_place
97406000AM0993,a_creuser,chaude,5221,6398,0.4635,0.4635,heritage_de_place
97412000CX0269,a_creuser,chaude,6070,6410,0.4603,0.4603,heritage_de_place
97411000HM0236,a_creuser,chaude,4595,6418,0.4545,0.4545,heritage_de_place
97411000KA0295,a_creuser,chaude,5424,6419,0.4545,0.4545,heritage_de_place
97408000AB0283,a_creuser,chaude,4560,6420,0.4545,0.4545,heritage_de_place
97418000AS1353,a_creuser,chaude,6521,6421,0.4541,0.4541,heritage_de_place
97418000AT2392,a_creuser,chaude,5100,6422,0.4541,0.4541,heritage_de_place
97415000HO1030,a_creuser,chaude,5649,6423,0.4541,0.4541,heritage_de_place
97410000CD0901,a_creuser,chaude,6645,6424,0.4541,0.4541,heritage_de_place
97415000HO1038,a_creuser,chaude,6245,6425,0.4541,0.4541,heritage_de_place
97411000KA0294,a_creuser,chaude,6083,6439,0.4476,0.4476,heritage_de_place
97424000AI2355,a_creuser,chaude,4374,6442,0.4460,0.4460,heritage_de_place
97424000AI2185,a_creuser,chaude,4622,6443,0.4460,0.4460,heritage_de_place
