idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97403000AH0125,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 78030 m² (cadastre),1.8108,-0.5326,0.461
97411000EL0153,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1035 m² (cadastre),1.0433,0.3786,0.1302
97415000CY0449,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1250 m² (cadastre),1.1814,0.3786,0.1888
97404000AS0081,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),13 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.0034,0.496,0.2532
97415000CT2295,0.07943,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1121,0.1036
97415000EZ0168,0.07943,"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 424 m² (cadastre),0% de ménages pauvres dans le carreau (Filosofi INSEE 2019),-0.2583,0.2132,0.1094
97413000CX2824,0.07943,Parcelle de 129 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1336,0.1036,0.0875
97416000HX1347,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 1494 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.3307,0.1888,0.1161
97416000HP0678,0.07943,Parcelle de 244 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2132,0.1036,0.0926
97422000AN0057,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 15521 m² (cadastre),1.8696,-0.5621,0.461
97422000BE2972,0.07943,Parcelle de 471 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97408000AC3547,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 30354 m² (cadastre),1.6241,-0.5326,0.461
97421000BL0065,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 47333 m² (cadastre),1.8108,-0.5326,0.461
97413000AV0411,0.07943,7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1161,0.1121,0.1036
97422000BS0413,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 159543 m² (cadastre),1.734,-0.5621,0.4437
97411000CE1266,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 101985 m² (cadastre),1.8108,-0.5326,0.461
97401000AI1209,0.07943,Parcelle de 444 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,0.0875
97422000BX1123,0.07943,Parcelle de 123 m² (cadastre),"38 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1336,0.1134,0.1036
97405000AO0557,0.07943,Parcelle de 221 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),37% de parcelles bâties dans le secteur (BD TOPO 2026),0.1336,0.1036,0.0872
