idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97422000BW3605,2025-06-10,True,,,,False
97421000AV0333,2025-07-23,False,,,,False
97413000AV0592,2025-06-17,False,,,,False
97416000EX1903,2025-04-03,True,,,,False
97405000AY0364,2025-08-22,True,,,,False
97411000AK0007,2025-12-08,True,,,,False
97410000AH1295,2025-10-15,True,,,,False
97422000BT0720,2025-09-29,False,,,,False
97422000BS0941,2025-10-30,True,,,,False
97422000CE0005,2025-09-29,False,,,,False
97416000HP0864,2025-06-26,True,,,,False
97407000AK1892,2025-04-29,False,,,,False
97422000AK1064,2025-08-13,False,,,,False
97415000CO0345,2025-07-01,True,,,,False
97410000AN0702,2025-04-30,True,,,,False
97405000AK0681,2025-12-29,False,,,,False
97411000AL0047,2025-11-06,False,,,,False
97408000AP1613,2025-07-15,False,,,,False
97407000AT0049,2025-03-27,True,,,,False
97415000CK1042,2025-12-18,False,,,,False
97413000BH0876,2025-10-02,True,,,,False
97407000AK1853,2025-06-27,False,,,,False
97415000BR0145,2025-11-28,True,,,,False
97422000AN0057,2025-10-30,False,,,,False
97415000CO0366,2025-07-01,True,,,,False
97422000BK1528,2025-04-28,True,,,,False
97404000AS0366,2025-06-11,False,,,,False
97415000DI0711,2025-07-11,True,,,,False
97420000AO0596,2025-09-09,True,,,,False
97416000ET2148,2025-04-22,True,,,,False
97415000AW0865,2025-12-09,False,,,,False
97414000DS0551,2025-11-25,False,,,,False
97418000AC0156,2025-10-16,True,,,,False
97412000BN0862,2025-04-07,True,,,,False
97422000AL1313,2025-12-22,False,,,,False
97411000DW0284,2025-12-04,True,,,,False
97421000BD0291,2025-12-11,True,,,,False
97409000BK0949,2025-09-12,False,,,,False
97411000BE0576,2025-11-04,True,,,,False
97412000AN0429,2025-12-30,False,,,,False
97423000AK2031,2025-09-09,True,,,,False
97410000AN0861,2025-11-28,True,,,,False
97423000AK0356,2025-02-26,True,,,,False
97415000CY0224,2025-02-07,False,,,,False
97410000AR0798,2025-01-30,False,,,,False
97412000BP0129,2025-10-31,False,,,,False
97416000HZ1050,2025-11-12,False,,,,False
97407000AL1514,2025-05-28,True,,,,False
97412000CD1574,2025-12-19,True,,,,False
97416000HZ0905,2025-06-13,False,,,,False
97415000CO0342,2025-07-01,True,,,,False
97409000AR0140,2025-04-23,False,,,,False
97412000BY0241,2025-04-29,False,,,,False
97418000AT2326,2025-08-20,False,,,,False
97415000AW2366,2025-02-24,True,,,,False
97416000ET2054,2025-05-27,True,,,,False
97422000BH0492,2025-03-17,False,,,,False
97411000HN0443,2025-09-03,True,,,,False
97421000BP0226,2025-03-12,True,,,,False
97422000BL1531,2025-12-08,False,,,,False
97412000BC0788,2025-05-30,False,,,,False
97416000CW1501,2025-12-11,False,,,,False
97401000AT0587,2025-10-16,True,,,,False
97408000AO1093,2025-08-25,False,,,,False
97419000AO0042,2025-10-16,True,,,,False
97415000CP2043,2025-07-18,False,,,,False
97403000AL0409,2025-08-20,True,,,,False
97405000AN0423,2025-10-23,True,,,,False
