idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97419000AO0225,Sainte-Rose,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97419000AO0225,Sainte-Rose,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 11910.0, ""geom_ST_Area_2975"": 11909.6, ""parcels.surface_m2"": 11909.6, ""mvt"": 11909.6}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97419000AO0225,Sainte-Rose,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97422000CT0181,Le Tampon,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97422000CT0181,Le Tampon,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 668.0, ""geom_ST_Area_2975"": 667.97, ""parcels.surface_m2"": 667.97, ""mvt"": 667.97}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97422000CT0181,Le Tampon,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97423000AB1762,Les Trois-Bassins,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97423000AB1762,Les Trois-Bassins,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1104.0, ""geom_ST_Area_2975"": 1104.28, ""parcels.surface_m2"": 1104.28, ""mvt"": 1104.28}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97423000AB1762,Les Trois-Bassins,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97422000BR1165,Le Tampon,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97422000BR1165,Le Tampon,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1399.0, ""geom_ST_Area_2975"": 1399.47, ""parcels.surface_m2"": 1399.47, ""mvt"": 1399.47}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97422000BR1165,Le Tampon,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1594, ""mvt"": 1594, ""renouv"": 1594, ""residuel(canon)"": 1594}",OK,canon=parcel_residuel cause NULL,
97408000AN2143,La Possession,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97408000AN2143,La Possession,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 544.0, ""geom_ST_Area_2975"": 543.88, ""parcels.surface_m2"": 543.88, ""mvt"": 543.88}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97408000AN2143,La Possession,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97404000AN0361,L'Étang-Salé,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97404000AN0361,L'Étang-Salé,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 290.0, ""geom_ST_Area_2975"": 290.49, ""parcels.surface_m2"": 290.49, ""mvt"": 290.49}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97404000AN0361,L'Étang-Salé,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97417000AE0050,Saint-Philippe,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97417000AE0050,Saint-Philippe,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 2948.0, ""geom_ST_Area_2975"": 2948.05, ""parcels.surface_m2"": 2948.05, ""mvt"": 2948.05}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97417000AE0050,Saint-Philippe,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,{},OK,canon=parcel_residuel cause NULL,
97408000AC1422,La Possession,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97408000AC1422,La Possession,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 22779.0, ""geom_ST_Area_2975"": 22778.89, ""parcels.surface_m2"": 22778.89, ""mvt"": 22778.89}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97408000AC1422,La Possession,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97418000AD0459,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97418000AD0459,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 1283.0, ""geom_ST_Area_2975"": 1283.15, ""parcels.surface_m2"": 1283.15, ""mvt"": 1283.15}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000AD0459,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 336, ""mvt"": 336, ""renouv"": 336, ""residuel(canon)"": 336}",OK,canon=parcel_residuel cause NULL,
97405000AI0240,Petite-Île,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97405000AI0240,Petite-Île,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 632.0, ""geom_ST_Area_2975"": 632.18, ""parcels.surface_m2"": 632.18, ""mvt"": 632.18}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97405000AI0240,Petite-Île,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 98, ""mvt"": 98, ""residuel(canon)"": 98}",OK,canon=parcel_residuel cause NULL,
97418000BL0026,Sainte-Marie,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Long terme"", ""v2/score(court)"": ""Long terme"", ""mvt(court)"": ""Long terme""}",OK,exp_court=Long terme raw=reserve_fonciere,etage0=False
97418000BL0026,Sainte-Marie,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 3178.0, ""geom_ST_Area_2975"": 3178.18, ""parcels.surface_m2"": 3178.18, ""mvt"": 3178.18}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97418000BL0026,Sainte-Marie,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1401, ""mvt"": 1401, ""residuel(canon)"": 1401}",OK,canon=parcel_residuel cause NULL,
