idu,commune,siren,dirigeant_age,sci_dormante,horizon
97404000AX0650,L'Étang-Salé,400026977,87,False,3-7 ans
97404000AY0043,L'Étang-Salé,397719790,76,False,3-7 ans
97404000AY0079,L'Étang-Salé,337492243,73,False,3-7 ans
97404000AY0154,L'Étang-Salé,798989349,70,False,3-7 ans
97404000AY0360,L'Étang-Salé,439303082,73,False,3-7 ans
97404000AY0381,L'Étang-Salé,439303082,73,False,3-7 ans
97404000AY0533,L'Étang-Salé,438675811,71,False,3-7 ans
97404000AZ0077,L'Étang-Salé,493808463,70,False,3-7 ans
97404000AZ0150,L'Étang-Salé,537933376,73,False,3-7 ans
97404000AZ0153,L'Étang-Salé,421637513,101,False,3-7 ans
97404000AZ0173,L'Étang-Salé,441745437,75,False,3-7 ans
97404000BA0096,L'Étang-Salé,423722289,77,False,3-7 ans
97404000BA0112,L'Étang-Salé,442279766,86,False,3-7 ans
97404000BA0180,L'Étang-Salé,408460327,70,False,3-7 ans
97404000BA0185,L'Étang-Salé,379118920,77,False,3-7 ans
97404000BA0224,L'Étang-Salé,430223370,81,False,3-7 ans
97404000BA0230,L'Étang-Salé,519141857,72,False,3-7 ans
97405000AB0068,Petite-Île,892399973,79,False,3-7 ans
97405000AB0069,Petite-Île,892399973,79,False,3-7 ans
97405000AB0070,Petite-Île,892399973,79,False,3-7 ans
97405000AB0084,Petite-Île,892399973,79,False,3-7 ans
97405000AB0090,Petite-Île,892399973,79,False,3-7 ans
97405000AB0114,Petite-Île,892399973,79,False,3-7 ans
97405000AB0128,Petite-Île,892399973,79,False,3-7 ans
97405000AB0129,Petite-Île,892399973,79,False,3-7 ans
97405000AB0131,Petite-Île,892399973,79,False,3-7 ans
97405000AB0174,Petite-Île,892399973,79,False,3-7 ans
97405000AB0175,Petite-Île,892399973,79,False,3-7 ans
97405000AB0176,Petite-Île,892399973,79,False,3-7 ans
97405000AH0163,Petite-Île,320566177,91,False,3-7 ans
97405000AH0170,Petite-Île,414846212,92,False,3-7 ans
97405000AH0174,Petite-Île,414846212,92,False,3-7 ans
97405000AH0242,Petite-Île,414846212,92,False,3-7 ans
97405000AH0254,Petite-Île,414846212,92,False,3-7 ans
97405000AH0255,Petite-Île,414846212,92,False,3-7 ans
97405000AH0256,Petite-Île,414846212,92,False,3-7 ans
97405000AH0257,Petite-Île,414846212,92,False,3-7 ans
97405000AH0258,Petite-Île,414846212,92,False,3-7 ans
97405000AH0259,Petite-Île,414846212,92,False,3-7 ans
97405000AH0494,Petite-Île,389286824,73,False,3-7 ans
97405000AH0763,Petite-Île,320566177,91,False,3-7 ans
97405000AH0764,Petite-Île,320566177,91,False,3-7 ans
97405000AH0765,Petite-Île,320566177,91,False,3-7 ans
97405000AK0140,Petite-Île,393151154,80,False,3-7 ans
97405000AK0141,Petite-Île,393151154,80,False,3-7 ans
97405000AK0142,Petite-Île,393151154,80,False,3-7 ans
97405000AK0143,Petite-Île,393151154,80,False,3-7 ans
97405000AK0144,Petite-Île,393151154,80,False,3-7 ans
97405000AK0145,Petite-Île,393151154,80,False,3-7 ans
97405000AK0150,Petite-Île,393151154,80,False,3-7 ans
97405000AK0462,Petite-Île,393151154,80,False,3-7 ans
97405000AK1169,Petite-Île,480794270,87,False,3-7 ans
97405000AK1260,Petite-Île,393151154,80,False,3-7 ans
97405000AL0399,Petite-Île,911920148,78,False,3-7 ans
97405000AL0913,Petite-Île,813159308,75,False,3-7 ans
97405000AL1534,Petite-Île,899991350,75,False,3-7 ans
97405000AM0015,Petite-Île,393151154,80,False,3-7 ans
97405000AM0016,Petite-Île,393151154,80,False,3-7 ans
97405000AM0118,Petite-Île,393151154,80,False,3-7 ans
97405000AM0416,Petite-Île,393151154,80,False,3-7 ans
97405000AM0506,Petite-Île,414846212,92,False,3-7 ans
97405000AM0507,Petite-Île,414846212,92,False,3-7 ans
97405000AM0508,Petite-Île,414846212,92,False,3-7 ans
97405000AM0714,Petite-Île,393151154,80,False,3-7 ans
97405000AN0189,Petite-Île,393151154,80,False,3-7 ans
97405000AN0190,Petite-Île,393151154,80,False,3-7 ans
97405000AN0191,Petite-Île,393151154,80,False,3-7 ans
97405000AN0398,Petite-Île,393151154,80,False,3-7 ans
97405000AN0400,Petite-Île,393151154,80,False,3-7 ans
97405000AO0618,Petite-Île,479564718,74,False,3-7 ans
97405000AO0619,Petite-Île,479564718,74,False,3-7 ans
97405000AO0620,Petite-Île,479564718,74,False,3-7 ans
97405000AR0022,Petite-Île,441543949,73,False,3-7 ans
97405000AR0793,Petite-Île,393151154,80,False,3-7 ans
97405000AR0794,Petite-Île,393151154,80,False,3-7 ans
97405000AR1024,Petite-Île,810566026,88,False,3-7 ans
97405000AR1348,Petite-Île,393151154,80,False,3-7 ans
97405000AR1457,Petite-Île,434249991,78,False,3-7 ans
97405000AR1460,Petite-Île,434249991,78,False,3-7 ans
97405000AR1548,Petite-Île,441543949,73,False,3-7 ans
97405000AR1892,Petite-Île,441543949,73,False,3-7 ans
97405000AR1893,Petite-Île,441543949,73,False,3-7 ans
97405000AS0435,Petite-Île,414846212,92,False,3-7 ans
97405000AS0437,Petite-Île,414846212,92,False,3-7 ans
97405000AS0534,Petite-Île,898431986,79,False,3-7 ans
97405000AV0445,Petite-Île,979464344,79,False,3-7 ans
97405000AV0477,Petite-Île,915275028,71,False,3-7 ans
97405000AW0532,Petite-Île,803714393,72,False,3-7 ans
97405000AW1024,Petite-Île,919467894,72,False,3-7 ans
97405000AX0036,Petite-Île,828426445,72,False,3-7 ans
97405000AX0284,Petite-Île,479902322,70,False,3-7 ans
97405000AX0388,Petite-Île,828426445,72,False,3-7 ans
97405000AY0435,Petite-Île,414846212,92,False,3-7 ans
97405000AY0747,Petite-Île,817478571,72,False,3-7 ans
97405000AZ0247,Petite-Île,424799963,77,False,3-7 ans
97405000AZ0686,Petite-Île,845158955,76,False,3-7 ans
97405000AZ0791,Petite-Île,414846212,92,False,3-7 ans
97405000AZ0818,Petite-Île,528436488,81,False,3-7 ans
97405000AZ0820,Petite-Île,528436488,81,False,3-7 ans
97405000AZ0822,Petite-Île,528436488,81,False,3-7 ans
97405000BC0400,Petite-Île,414846212,92,False,3-7 ans
97405000BD0001,Petite-Île,414846212,92,False,3-7 ans
97405000BE0463,Petite-Île,423734227,87,False,3-7 ans
97405000BE0503,Petite-Île,423734227,87,False,3-7 ans
97405000BE0805,Petite-Île,948772066,79,False,3-7 ans
97405000BE1119,Petite-Île,948772066,79,False,3-7 ans
97405000BE1132,Petite-Île,484083670,73,False,3-7 ans
97405000BE1626,Petite-Île,903464303,73,False,3-7 ans
97405000BE1627,Petite-Île,903464303,73,False,3-7 ans
97405000BE1633,Petite-Île,903464303,73,False,3-7 ans
97405000BH0090,Petite-Île,402998355,81,False,3-7 ans
97405000BH0119,Petite-Île,413863705,70,False,3-7 ans
97405000BH0613,Petite-Île,408084010,90,False,3-7 ans
97405000BH0625,Petite-Île,391436904,83,False,3-7 ans
97405000BH0636,Petite-Île,351469564,76,False,3-7 ans
97405000BH0637,Petite-Île,351469564,76,False,3-7 ans
97405000BH0670,Petite-Île,480463421,81,False,3-7 ans
97405000BH0720,Petite-Île,413863705,70,False,3-7 ans
97405000BH0825,Petite-Île,433862208,73,False,3-7 ans
97405000BH0925,Petite-Île,413863705,70,False,3-7 ans
97405000BI0490,Petite-Île,402998355,81,False,3-7 ans
97405000BI0507,Petite-Île,402998355,81,False,3-7 ans
97405000BI0508,Petite-Île,393151154,80,False,3-7 ans
97405000BI0528,Petite-Île,402998355,81,False,3-7 ans
97405000BI0746,Petite-Île,448591347,78,False,3-7 ans
97405000BI1222,Petite-Île,484083670,73,False,3-7 ans
97406000AC0090,La Plaine-des-Palmistes,515276129,73,False,3-7 ans
97406000AC0281,La Plaine-des-Palmistes,438305419,71,False,3-7 ans
97406000AC0282,La Plaine-des-Palmistes,438305419,71,False,3-7 ans
97406000AC0283,La Plaine-des-Palmistes,438305419,71,False,3-7 ans
97406000AC0339,La Plaine-des-Palmistes,390148344,86,False,3-7 ans
97406000AC0370,La Plaine-des-Palmistes,343105003,86,False,3-7 ans
97406000AC0506,La Plaine-des-Palmistes,390148344,86,False,3-7 ans
97406000AC0561,La Plaine-des-Palmistes,889647202,77,False,3-7 ans
97406000AC0562,La Plaine-des-Palmistes,889647202,77,False,3-7 ans
97406000AD0689,La Plaine-des-Palmistes,515276129,73,False,3-7 ans
97406000AD0752,La Plaine-des-Palmistes,392613196,76,False,3-7 ans
97406000AD0837,La Plaine-des-Palmistes,330482456,85,False,3-7 ans
97406000AE0045,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AE0046,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AE0047,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AE0393,La Plaine-des-Palmistes,811976521,91,False,3-7 ans
97406000AE0394,La Plaine-des-Palmistes,811976521,91,False,3-7 ans
97406000AE0682,La Plaine-des-Palmistes,533466918,70,False,3-7 ans
97406000AE0750,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AE0751,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AE0752,La Plaine-des-Palmistes,792521171,73,False,3-7 ans
97406000AH0250,La Plaine-des-Palmistes,432949287,73,False,3-7 ans
97406000AI0039,La Plaine-des-Palmistes,494200611,75,False,3-7 ans
97406000AI0178,La Plaine-des-Palmistes,353490931,78,False,3-7 ans
97406000AI0516,La Plaine-des-Palmistes,354039380,78,False,3-7 ans
97406000AI0517,La Plaine-des-Palmistes,354039380,78,False,3-7 ans
97406000AI0518,La Plaine-des-Palmistes,354039380,78,False,3-7 ans
97406000AI0547,La Plaine-des-Palmistes,382367571,78,False,3-7 ans
97406000AI0652,La Plaine-des-Palmistes,382367571,78,False,3-7 ans
97406000AK0009,La Plaine-des-Palmistes,310864541,74,False,3-7 ans
97406000AK0160,La Plaine-des-Palmistes,310864541,74,False,3-7 ans
97406000AK0161,La Plaine-des-Palmistes,310864541,74,False,3-7 ans
97406000AK0178,La Plaine-des-Palmistes,838028397,77,False,3-7 ans
97406000AK0198,La Plaine-des-Palmistes,838028397,77,False,3-7 ans
97406000AK0264,La Plaine-des-Palmistes,485336390,71,False,3-7 ans
97406000AL0158,La Plaine-des-Palmistes,520495607,76,False,3-7 ans
97406000AL0512,La Plaine-des-Palmistes,410306658,92,False,3-7 ans
97406000AL0514,La Plaine-des-Palmistes,410306658,92,False,3-7 ans
97406000AL0599,La Plaine-des-Palmistes,817878648,87,False,3-7 ans
97406000AL0602,La Plaine-des-Palmistes,817878648,87,False,3-7 ans
97406000AM0030,La Plaine-des-Palmistes,393895289,85,False,3-7 ans
97406000AM0146,La Plaine-des-Palmistes,752491902,72,False,3-7 ans
97406000AM0207,La Plaine-des-Palmistes,400026977,87,False,3-7 ans
97406000AM0369,La Plaine-des-Palmistes,445407638,80,False,3-7 ans
97406000AM0664,La Plaine-des-Palmistes,891772899,74,False,3-7 ans
97406000AM0677,La Plaine-des-Palmistes,423491604,78,False,3-7 ans
97406000AM0727,La Plaine-des-Palmistes,807870662,84,False,3-7 ans
97406000AM0791,La Plaine-des-Palmistes,485338081,71,False,3-7 ans
97406000AO0092,La Plaine-des-Palmistes,503904641,87,False,3-7 ans
97406000AO0098,La Plaine-des-Palmistes,753765031,75,False,3-7 ans
97406000AO0102,La Plaine-des-Palmistes,421638305,78,False,3-7 ans
97406000AO0192,La Plaine-des-Palmistes,503904641,87,False,3-7 ans
97406000AP0074,La Plaine-des-Palmistes,483583738,70,False,3-7 ans
97406000AP0421,La Plaine-des-Palmistes,949305403,79,False,3-7 ans
97406000AS0252,La Plaine-des-Palmistes,880924741,71,False,3-7 ans
97406000AS0253,La Plaine-des-Palmistes,880924741,71,False,3-7 ans
97406000AT0033,La Plaine-des-Palmistes,453670051,73,False,3-7 ans
97406000AT0035,La Plaine-des-Palmistes,453670051,73,False,3-7 ans
97406000AV0324,La Plaine-des-Palmistes,448162156,85,False,3-7 ans
97406000AV0607,La Plaine-des-Palmistes,334852001,101,False,3-7 ans
97406000AW0256,La Plaine-des-Palmistes,381736727,81,False,3-7 ans
97406000AW0791,La Plaine-des-Palmistes,978486942,71,False,3-7 ans
97406000AW0794,La Plaine-des-Palmistes,381736727,81,False,3-7 ans
97406000AW1214,La Plaine-des-Palmistes,978486942,71,False,3-7 ans
97407000AB0018,Le Port,310865043,74,False,3-7 ans
97407000AB0071,Le Port,310863626,73,False,3-7 ans
97407000AE0055,Le Port,950638544,87,False,3-7 ans
97407000AE0056,Le Port,323088427,104,False,3-7 ans
97407000AE0057,Le Port,310865100,91,False,3-7 ans
97407000AE0058,Le Port,310865100,91,False,3-7 ans
97407000AE0074,Le Port,950638544,87,False,3-7 ans
